Time,# Clients
2022-02-01 00:00:00+00:00,0
2022-02-02 00:00:00+00:00,0
2022-02-03 00:00:00+00:00,0
2022-02-04 00:00:00+00:00,0
2022-02-05 00:00:00+00:00,0
2022-02-06 00:00:00+00:00,0
2022-02-07 00:00:00+00:00,0
2022-02-08 00:00:00+00:00,3094
2022-02-09 00:00:00+00:00,3014
2022-02-10 00:00:00+00:00,3182
2022-02-11 00:00:00+00:00,3036
2022-02-12 00:00:00+00:00,2379
2022-02-13 00:00:00+00:00,616
2022-02-14 00:00:00+00:00,3402
2022-02-15 00:00:00+00:00,3294
2022-02-16 00:00:00+00:00,3412
2022-02-17 00:00:00+00:00,3461
2022-02-18 00:00:00+00:00,3450
2022-02-19 00:00:00+00:00,2663
2022-02-20 00:00:00+00:00,616
2022-02-21 00:00:00+00:00,3028
2022-02-22 00:00:00+00:00,2954
2022-02-23 00:00:00+00:00,3054
2022-02-24 00:00:00+00:00,2715
2022-02-25 00:00:00+00:00,2835
2022-02-26 00:00:00+00:00,2202
2022-02-27 00:00:00+00:00,597
2022-02-28 00:00:00+00:00,3072
2022-03-01 00:00:00+00:00,3067
2022-03-02 00:00:00+00:00,3036
2022-03-03 00:00:00+00:00,3264
2022-03-04 00:00:00+00:00,2988
2022-03-05 00:00:00+00:00,2347
2022-03-06 00:00:00+00:00,533
2022-03-07 00:00:00+00:00,3145
2022-03-08 00:00:00+00:00,2155
2022-03-09 00:00:00+00:00,3192
2022-03-10 00:00:00+00:00,3145
2022-03-11 00:00:00+00:00,3072
2022-03-12 00:00:00+00:00,1682
2022-03-13 00:00:00+00:00,326
2022-03-14 00:00:00+00:00,3355
2022-03-15 00:00:00+00:00,3154
2022-03-16 00:00:00+00:00,3240
2022-03-17 00:00:00+00:00,3240
2022-03-18 00:00:00+00:00,1552
2022-03-19 00:00:00+00:00,2484
2022-03-20 00:00:00+00:00,512
2022-03-21 00:00:00+00:00,643
2022-03-22 00:00:00+00:00,3666
2022-03-23 00:00:00+00:00,3477
2022-03-24 00:00:00+00:00,3036
2022-03-25 00:00:00+00:00,2580
2022-03-26 00:00:00+00:00,330
2022-03-27 00:00:00+00:00,290
2022-03-28 00:00:00+00:00,321
2022-03-29 00:00:00+00:00,320
2022-03-30 00:00:00+00:00,2741
2022-03-31 00:00:00+00:00,3085
2022-04-01 00:00:00+00:00,2917
2022-04-02 00:00:00+00:00,2118
2022-04-03 00:00:00+00:00,564
2022-04-04 00:00:00+00:00,3259
2022-04-05 00:00:00+00:00,3211
2022-04-06 00:00:00+00:00,3136
2022-04-07 00:00:00+00:00,3477
2022-04-08 00:00:00+00:00,3050
2022-04-09 00:00:00+00:00,2184
2022-04-10 00:00:00+00:00,468
2022-04-11 00:00:00+00:00,329
2022-04-12 00:00:00+00:00,309
2022-04-13 00:00:00+00:00,299
2022-04-14 00:00:00+00:00,268
2022-04-15 00:00:00+00:00,263
2022-04-16 00:00:00+00:00,284
2022-04-17 00:00:00+00:00,259
2022-04-18 00:00:00+00:00,2167
2022-04-19 00:00:00+00:00,2104
2022-04-20 00:00:00+00:00,2450
2022-04-21 00:00:00+00:00,2041
