Time,Download (b/s),Total (b/s)
2022-02-01 00:00:00+00:00,0.0,0.0
2022-02-02 18:00:00+00:00,0.0,0.0
2022-02-02 22:00:00+00:00,215997170.9155556,433594548.3377778
2022-02-03 02:00:00+00:00,104037156.40888888,208081258.9511111
2022-02-03 06:00:00+00:00,168857750.75555557,340568957.1555556
2022-02-03 10:00:00+00:00,418706541.2266667,835854716.0177778
2022-02-03 14:00:00+00:00,388315501.2266667,779141400.4622222
2022-02-03 18:00:00+00:00,462470731.0933333,925227658.24
2022-02-03 22:00:00+00:00,199936993.84888887,401400651.0933333
2022-02-04 02:00:00+00:00,132354638.50666666,264745056.14222223
2022-02-04 06:00:00+00:00,192392824.60444444,384399261.0133333
2022-02-04 10:00:00+00:00,427780370.20444447,856757785.6
2022-02-04 14:00:00+00:00,461633528.03555554,925405916.16
2022-02-04 18:00:00+00:00,494801725.44,991242591.5733331
2022-02-04 22:00:00+00:00,158308087.46666667,317244978.63111115
2022-02-05 02:00:00+00:00,110145169.63555557,220107617.28
2022-02-05 06:00:00+00:00,148206522.02666667,296518458.59555554
2022-02-05 10:00:00+00:00,242548635.30666667,489225266.6311112
2022-02-05 14:00:00+00:00,304513958.6844444,610481402.88
2022-02-05 18:00:00+00:00,245958702.08,492292077.7955556
2022-02-05 22:00:00+00:00,113384948.05333333,226910333.15555555
2022-02-07 02:00:00+00:00,106629645.65333334,213326430.4355556
2022-02-07 06:00:00+00:00,155156449.28,310740157.44
2022-02-07 10:00:00+00:00,353328302.6488889,708657602.56
2022-02-07 14:00:00+00:00,357279847.5377778,713595672.4622222
2022-02-07 18:00:00+00:00,474025381.5466667,950213422.6488888
2022-02-07 22:00:00+00:00,183564665.74222225,367212019.4844445
2022-02-08 02:00:00+00:00,110661163.80444445,221482196.76444444
2022-02-08 06:00:00+00:00,167098154.09777778,334216121.4577778
2022-02-08 10:00:00+00:00,443278928.7822222,888935064.4622222
2022-02-08 14:00:00+00:00,406040590.2222222,814035969.1377778
2022-02-08 18:00:00+00:00,472597467.5911111,948490689.4222224
2022-02-08 22:00:00+00:00,243087935.14666668,495803205.97333336
2022-02-09 02:00:00+00:00,140692669.44,281910791.9644444
2022-02-09 06:00:00+00:00,210241017.74222225,424182590.57777774
2022-02-09 10:00:00+00:00,506588106.52444446,1017286721.991111
2022-02-09 14:00:00+00:00,459723121.2088889,923548661.1911112
2022-02-09 18:00:00+00:00,577030924.5155555,1158360673.8488889
2022-02-09 22:00:00+00:00,190449972.33777776,386777374.1511111
2022-02-10 02:00:00+00:00,31535947.66222222,71250697.10222222
2022-02-10 06:00:00+00:00,113548619.66222222,229092076.6577778
2022-02-10 10:00:00+00:00,445362135.60888886,904853701.4044445
2022-02-10 14:00:00+00:00,300224906.24,617370203.5911112
2022-02-10 18:00:00+00:00,400470138.88,803940625.6355555
2022-02-10 22:00:00+00:00,110276069.83111112,237209623.32444447
2022-02-11 02:00:00+00:00,42639347.48444445,85774276.26666667
2022-02-11 06:00:00+00:00,118734208.0,238685094.11555555
2022-02-11 10:00:00+00:00,340551476.3377778,687361484.8
2022-02-11 14:00:00+00:00,253536252.58666667,536246754.9866667
2022-02-11 18:00:00+00:00,336561575.25333333,674704823.751111
2022-02-11 22:00:00+00:00,174422968.8888889,353979583.71555555
2022-02-12 02:00:00+00:00,105392400.49777776,211132532.0533333
2022-02-12 06:00:00+00:00,138407664.0711111,278383469.7955556
2022-02-12 10:00:00+00:00,199782348.2311111,406196542.57777774
2022-02-12 14:00:00+00:00,275909686.04444444,595025491.0577778
2022-02-12 18:00:00+00:00,175625806.50666666,376224180.3377777
2022-02-12 22:00:00+00:00,102969992.53333332,244175555.12888888
2022-02-14 02:00:00+00:00,34411878.968888886,69018786.70222223
2022-02-14 06:00:00+00:00,69175488.85333334,140836941.3688889
2022-02-14 10:00:00+00:00,293248514.27555555,586630841.4577777
2022-02-14 14:00:00+00:00,256278245.8311111,512755238.1155555
2022-02-14 18:00:00+00:00,342093385.9555556,685000458.24
2022-02-14 22:00:00+00:00,75421920.71111111,151727312.21333334
2022-02-15 02:00:00+00:00,32352023.324444443,64715711.71555555
2022-02-15 06:00:00+00:00,122828624.21333334,246011886.9333333
2022-02-15 10:00:00+00:00,461983952.7822222,924432458.5244443
2022-02-15 14:00:00+00:00,447610850.9866667,895884948.48
2022-02-15 18:00:00+00:00,446964292.8355556,896356774.6844444
2022-02-15 22:00:00+00:00,194888044.6577778,389569991.68
2022-02-16 02:00:00+00:00,154442406.68444446,308913635.5555556
2022-02-16 06:00:00+00:00,210189506.56,420068345.17333335
2022-02-16 10:00:00+00:00,339876014.6488889,682444916.6222222
2022-02-16 14:00:00+00:00,277540741.6888889,555146228.6222222
2022-02-16 18:00:00+00:00,333017375.8577778,666759686.2577777
2022-02-16 22:00:00+00:00,100878401.99111111,202415947.09333333
2022-02-17 02:00:00+00:00,49230093.08444444,98449450.09777778
2022-02-17 06:00:00+00:00,105200576.28444444,210885481.81333333
2022-02-17 10:00:00+00:00,309641264.92444444,619338481.2088889
2022-02-17 14:00:00+00:00,284717304.60444444,570524267.52
2022-02-17 18:00:00+00:00,288645093.83111113,578930769.9200001
2022-02-17 22:00:00+00:00,91499651.98222224,182552618.6666667
2022-02-18 02:00:00+00:00,40530766.50666667,81055718.4
2022-02-18 06:00:00+00:00,96450282.38222222,192870002.34666663
2022-02-18 10:00:00+00:00,348706732.94222224,697980933.12
2022-02-18 14:00:00+00:00,352320823.18222225,705909292.9422222
2022-02-18 18:00:00+00:00,346991093.76,695134117.5466666
2022-02-18 22:00:00+00:00,112097095.68,224684662.8977778
