Predicción,Tiempo
0.4962504,2024-01-01 00:00:00
0.49505827,2024-01-01 04:00:00
0.4938748,2024-01-01 08:00:00
0.49270922,2024-01-01 12:00:00
0.49156603,2024-01-01 16:00:00
0.49044588,2024-01-01 20:00:00
0.48934755,2024-01-02 00:00:00
0.48826918,2024-01-02 04:00:00
0.48720893,2024-01-02 08:00:00
0.48616606,2024-01-02 12:00:00
0.4851402,2024-01-02 16:00:00
0.48413205,2024-01-02 20:00:00
0.48314175,2024-01-03 00:00:00
0.4821692,2024-01-03 04:00:00
0.4812133,2024-01-03 08:00:00
0.48027197,2024-01-03 12:00:00
0.47934157,2024-01-03 16:00:00
0.47841775,2024-01-03 20:00:00
0.47749552,2024-01-04 00:00:00
0.47657,2024-01-04 04:00:00
0.4756371,2024-01-04 08:00:00
0.47469392,2024-01-04 12:00:00
0.47373924,2024-01-04 16:00:00
0.47277352,2024-01-04 20:00:00
0.47179908,2024-01-05 00:00:00
0.47081938,2024-01-05 04:00:00
0.46983868,2024-01-05 08:00:00
0.46886104,2024-01-05 12:00:00
0.4678901,2024-01-05 16:00:00
0.46692783,2024-01-05 20:00:00
0.4659746,2024-01-06 00:00:00
0.4650287,2024-01-06 04:00:00
0.4640867,2024-01-06 08:00:00
0.46314347,2024-01-06 12:00:00
0.46217033,2024-01-06 16:00:00
0.46118537,2024-01-06 20:00:00
0.46018806,2024-01-07 00:00:00
0.45917898,2024-01-07 04:00:00
0.45815977,2024-01-07 08:00:00
0.45713276,2024-01-07 12:00:00
0.45614713,2024-01-07 16:00:00
0.45516163,2024-01-07 20:00:00
0.45417607,2024-01-08 00:00:00
0.4531906,2024-01-08 04:00:00
0.45220512,2024-01-08 08:00:00
0.45121962,2024-01-08 12:00:00
0.45023417,2024-01-08 16:00:00
0.4492488,2024-01-08 20:00:00
0.44826338,2024-01-09 00:00:00
0.44727802,2024-01-09 04:00:00
0.4462926,2024-01-09 08:00:00
0.44530728,2024-01-09 12:00:00
0.44432196,2024-01-09 16:00:00
0.4433367,2024-01-09 20:00:00
0.44235134,2024-01-10 00:00:00
0.44136605,2024-01-10 04:00:00
0.44038078,2024-01-10 08:00:00
0.43939558,2024-01-10 12:00:00
0.43841037,2024-01-10 16:00:00
0.43742517,2024-01-10 20:00:00
0.43643996,2024-01-11 00:00:00
0.43545485,2024-01-11 04:00:00
0.4344697,2024-01-11 08:00:00
0.43348452,2024-01-11 12:00:00
0.4324994,2024-01-11 16:00:00
0.43151435,2024-01-11 20:00:00
0.43052924,2024-01-12 00:00:00
0.4295442,2024-01-12 04:00:00
0.42855915,2024-01-12 08:00:00
0.42757416,2024-01-12 12:00:00
0.42658916,2024-01-12 16:00:00
0.42560416,2024-01-12 20:00:00
0.4246192,2024-01-13 00:00:00
0.4236342,2024-01-13 04:00:00
0.42264923,2024-01-13 08:00:00
0.42166427,2024-01-13 12:00:00
0.42067936,2024-01-13 16:00:00
0.41969445,2024-01-13 20:00:00
0.41870955,2024-01-14 00:00:00
0.41772473,2024-01-14 04:00:00
0.41673985,2024-01-14 08:00:00
0.41575503,2024-01-14 12:00:00
0.4147702,2024-01-14 16:00:00
0.4137854,2024-01-14 20:00:00
0.41280055,2024-01-15 00:00:00
0.4118158,2024-01-15 04:00:00
0.410831,2024-01-15 08:00:00
0.40984625,2024-01-15 12:00:00
0.4088615,2024-01-15 16:00:00
0.4078768,2024-01-15 20:00:00
0.40689203,2024-01-16 00:00:00
0.40590736,2024-01-16 04:00:00
0.40492263,2024-01-16 08:00:00
0.40393794,2024-01-16 12:00:00
0.40295327,2024-01-16 16:00:00
0.4023541,2024-01-16 20:00:00
0.40214902,2024-01-17 00:00:00
0.40232,2024-01-17 04:00:00
0.40283245,2024-01-17 08:00:00
0.40364143,2024-01-17 12:00:00
0.40469664,2024-01-17 16:00:00
0.40594634,2024-01-17 20:00:00
0.40734023,2024-01-18 00:00:00
0.40883142,2024-01-18 04:00:00
0.4103784,2024-01-18 08:00:00
0.41194528,2024-01-18 12:00:00
0.4135028,2024-01-18 16:00:00
0.4150278,2024-01-18 20:00:00
0.41650313,2024-01-19 00:00:00
0.41791716,2024-01-19 04:00:00
0.41926327,2024-01-19 08:00:00
0.42053884,2024-01-19 12:00:00
0.42174467,2024-01-19 16:00:00
0.42288408,2024-01-19 20:00:00
0.42396256,2024-01-20 00:00:00
0.4249868,2024-01-20 04:00:00
0.42596415,2024-01-20 08:00:00
0.4269024,2024-01-20 12:00:00
